# fixed_rpm=3400
range_in,v_mps,hoodLo,hoodMid,hoodHi,sigmaHood,descentDeg,arrival_mps,pStay
62.0,-1.20,68.25,69.25,70.25,1.118,80.73,6.741,0.5091
62.0,-0.80,71.75,72.63,73.50,1.179,81.15,6.909,0.4995
62.0,-0.40,75.00,75.75,76.50,1.118,81.08,6.842,0.5069
62.0,0.00,78.00,78.88,79.75,1.179,81.64,7.119,0.5043
62.0,0.40,81.25,82.00,82.75,1.118,81.69,7.127,0.5060
62.0,0.80,84.25,84.63,85.00,1.008,79.88,6.213,0.5344
66.0,-1.60,63.75,64.88,66.00,1.068,79.05,6.335,0.4856
66.0,-1.20,67.50,68.50,69.50,1.118,79.93,6.639,0.4933
66.0,-0.80,70.75,71.75,72.75,1.118,80.32,6.772,0.4922
66.0,-0.40,74.25,75.00,75.75,1.118,80.21,6.684,0.4985
66.0,0.00,77.25,78.13,79.00,1.068,80.79,6.928,0.4871
66.0,0.40,80.50,81.25,82.00,1.118,80.83,6.933,0.4877
66.0,0.80,83.50,84.25,85.00,1.118,80.87,6.936,0.4885
70.0,-1.60,62.75,64.00,65.25,1.118,78.30,6.305,0.4538
70.0,-1.20,66.50,67.50,68.50,1.118,78.49,6.319,0.4616
70.0,-0.80,70.00,71.00,72.00,1.118,79.48,6.652,0.4763
70.0,-0.40,73.50,74.38,75.25,1.179,79.97,6.829,0.4753
70.0,0.00,76.50,77.38,78.25,1.068,79.92,6.769,0.4797
70.0,0.40,79.75,80.50,81.25,1.118,79.94,6.755,0.4818
70.0,0.80,82.75,83.63,84.50,1.179,80.60,7.055,0.4749
74.0,-1.60,61.75,63.00,64.25,1.118,76.89,6.074,0.3929
74.0,-1.20,65.50,66.63,67.75,1.068,77.69,6.271,0.4275
74.0,-0.80,69.25,70.25,71.25,1.118,78.64,6.550,0.4533
74.0,-0.40,72.50,73.50,74.50,1.118,79.10,6.691,0.4600
74.0,0.00,75.75,76.63,77.50,1.068,79.05,6.644,0.4620
74.0,0.40,79.00,79.88,80.75,1.179,79.68,6.879,0.4618
74.0,0.80,82.25,83.00,83.75,1.118,79.72,6.876,0.4631
78.0,-1.60,60.75,62.00,63.25,1.118,75.48,5.895,0.3555
78.0,-1.20,64.75,65.88,67.00,1.179,76.88,6.224,0.3907
78.0,-0.80,68.25,69.38,70.50,1.068,77.83,6.483,0.4253
78.0,-0.40,71.75,72.75,73.75,1.118,78.28,6.604,0.4368
78.0,0.00,75.00,75.88,76.75,1.068,78.19,6.536,0.4368
78.0,0.40,78.25,79.13,80.00,1.068,78.80,6.736,0.4465
78.0,0.80,81.50,82.25,83.00,1.118,78.83,6.729,0.4481
78.0,1.20,84.50,84.75,85.00,1.000,76.07,5.812,0.4135
82.0,-1.60,59.50,61.00,62.50,1.118,74.81,5.923,0.3235
82.0,-1.20,63.75,64.88,66.00,1.068,75.46,6.026,0.3172
82.0,-0.80,67.50,68.50,69.50,1.118,76.38,6.231,0.3666
82.0,-0.40,71.00,72.00,73.00,1.118,77.44,6.517,0.4085
82.0,0.00,74.25,75.25,76.25,1.118,77.94,6.650,0.4223
82.0,0.40,77.50,78.38,79.25,1.068,77.94,6.626,0.4231
82.0,0.80,80.75,81.63,82.50,1.179,78.57,6.836,0.4328
82.0,1.20,83.75,84.38,85.00,1.068,77.32,6.379,0.4075
86.0,-1.60,58.25,59.88,61.50,1.179,73.46,5.802,0.3879
86.0,-1.20,62.50,63.88,65.25,1.068,74.74,6.034,0.2971
86.0,-0.80,66.50,67.63,68.75,1.068,75.58,6.200,0.3283
86.0,-0.40,70.00,71.13,72.25,1.068,76.61,6.449,0.3765
86.0,0.00,73.50,74.50,75.50,1.118,77.09,6.561,0.3941
86.0,0.40,76.75,77.63,78.50,1.068,77.04,6.518,0.3930
86.0,0.80,80.00,80.88,81.75,1.179,77.72,6.725,0.4116
86.0,1.20,83.00,83.88,84.75,1.068,77.76,6.726,0.4131
90.0,-1.60,56.75,58.63,60.50,10.050,72.18,5.717,0.4348
90.0,-1.20,61.50,62.88,64.25,1.068,73.35,5.893,0.3572
90.0,-0.80,65.50,66.75,68.00,1.118,74.79,6.172,0.3010
90.0,-0.40,69.25,70.38,71.50,1.179,75.80,6.399,0.3425
90.0,0.00,72.75,73.75,74.75,1.118,76.26,6.491,0.3623
90.0,0.40,76.00,77.00,78.00,1.118,76.85,6.647,0.3840
90.0,0.80,79.25,80.13,81.00,1.179,76.83,6.615,0.3837
90.0,1.20,82.50,83.25,84.00,1.118,76.87,6.613,0.3852
94.0,-1.60,55.00,57.13,59.25,10.050,70.17,5.522,0.5226
94.0,-1.20,60.25,61.75,63.25,1.118,71.95,5.772,0.4195
94.0,-0.80,64.50,65.75,67.00,1.118,73.37,6.010,0.3186
94.0,-0.40,68.25,69.38,70.50,1.068,74.32,6.183,0.3060
94.0,0.00,72.00,73.00,74.00,1.118,75.45,6.439,0.3285
94.0,0.40,75.25,76.25,77.25,1.118,75.99,6.558,0.3523
94.0,0.80,78.50,79.38,80.25,1.068,75.95,6.523,0.3505
94.0,1.20,81.75,82.63,83.50,1.179,76.65,6.720,0.3764
94.0,1.60,84.75,84.88,85.00,1.008,72.26,5.598,0.4741
98.0,-1.60,53.00,55.50,58.00,10.050,68.32,5.400,0.5780
98.0,-1.20,59.00,60.63,62.25,1.068,70.62,5.688,0.4647
98.0,-0.80,63.50,64.88,66.25,1.068,72.65,6.019,0.3299
98.0,-0.40,67.50,68.63,69.75,1.068,73.56,6.170,0.3136
98.0,0.00,71.00,72.13,73.25,1.068,74.63,6.388,0.3086
98.0,0.40,74.50,75.50,76.50,1.118,75.14,6.487,0.3175
98.0,0.80,77.75,78.63,79.50,1.068,75.09,6.449,0.3140
98.0,1.20,81.00,81.88,82.75,1.179,75.78,6.626,0.3459
98.0,1.60,84.00,84.50,85.00,1.031,73.74,6.080,0.3122
102.0,-1.60,38.75,47.75,56.75,10.050,66.48,5.301,0.6214
102.0,-1.20,57.50,59.38,61.25,10.050,69.39,5.641,0.4948
102.0,-0.80,62.25,63.75,65.25,1.118,71.31,5.914,0.3814
102.0,-0.40,66.50,67.75,69.00,1.118,72.80,6.160,0.3218
102.0,0.00,70.25,71.38,72.50,1.179,73.84,6.356,0.3103
102.0,0.40,73.75,74.75,75.75,1.118,74.31,6.435,0.3100
102.0,0.80,77.00,78.00,79.00,1.118,74.91,6.561,0.3146
102.0,1.20,80.25,81.13,82.00,1.179,74.93,6.550,0.3143
102.0,1.60,83.25,84.13,85.00,1.068,74.98,6.552,0.3146
106.0,-1.60,39.50,47.50,55.50,9.304,64.77,5.241,0.6496
106.0,-1.20,55.75,58.00,60.25,10.050,68.15,5.597,0.5224
106.0,-0.80,61.25,62.75,64.25,1.118,69.93,5.812,0.4345
106.0,-0.40,65.50,66.75,68.00,1.118,71.37,6.018,0.3505
106.0,0.00,69.25,70.38,71.50,1.068,72.37,6.176,0.3255
106.0,0.40,72.75,73.88,75.00,1.068,73.52,6.400,0.3108
106.0,0.80,76.25,77.25,78.25,1.118,74.09,6.506,0.3106
106.0,1.20,79.50,80.38,81.25,1.068,74.06,6.475,0.3104
106.0,1.60,82.75,83.63,84.50,1.179,74.76,6.644,0.3167
110.0,-1.60,40.50,47.13,53.75,8.186,61.86,5.090,0.6941
110.0,-1.20,53.75,56.38,59.00,10.050,66.35,5.496,0.5704
110.0,-0.80,59.75,61.50,63.25,10.050,68.65,5.748,0.4721
110.0,-0.40,64.50,65.88,67.25,1.179,70.72,6.044,0.3578
110.0,0.00,68.25,69.50,70.75,1.118,71.60,6.164,0.3342
110.0,0.40,72.00,73.13,74.25,1.179,72.73,6.367,0.3135
110.0,0.80,75.50,76.50,77.50,1.118,73.25,6.453,0.3100
110.0,1.20,78.75,79.63,80.50,1.068,73.21,6.419,0.3108
110.0,1.60,82.00,82.88,83.75,1.179,73.94,6.583,0.3104
114.0,-1.60,41.75,46.75,51.75,7.071,58.46,4.947,0.7015
114.0,-1.20,39.25,48.50,57.75,10.050,64.58,5.417,0.6092
114.0,-0.80,58.50,60.38,62.25,10.050,67.41,5.703,0.5014
114.0,-0.40,63.25,64.75,66.25,1.118,69.35,5.942,0.4037
114.0,0.00,67.50,68.75,70.00,1.118,70.90,6.170,0.3409
114.0,0.40,71.00,72.25,73.50,1.118,71.94,6.336,0.3181
114.0,0.80,74.50,75.63,76.75,1.068,72.46,6.418,0.3116
114.0,1.20,78.00,79.00,80.00,1.118,73.07,6.531,0.3075
114.0,1.60,81.25,82.13,83.00,1.179,73.10,6.524,0.3078
118.0,-1.60,44.25,46.50,48.75,5.590,52.92,4.751,0.7196
118.0,-1.20,40.00,48.13,56.25,9.428,62.26,5.303,0.6568
118.0,-0.80,56.75,59.00,61.25,10.050,66.24,5.678,0.5232
118.0,-0.40,62.00,63.63,65.25,1.068,68.07,5.875,0.4432
118.0,0.00,66.25,67.63,69.00,1.068,69.54,6.064,0.3722
118.0,0.40,70.25,71.38,72.50,1.068,70.51,6.191,0.3423
118.0,0.80,73.75,74.88,76.00,1.068,71.66,6.384,0.3152
118.0,1.20,77.25,78.25,79.25,1.118,72.28,6.493,0.3073
118.0,1.60,80.50,81.38,82.25,1.179,72.25,6.467,0.3088
122.0,-1.20,41.00,47.88,54.75,8.434,60.07,5.231,0.6838
122.0,-0.80,54.50,57.25,60.00,10.050,64.51,5.596,0.5679
122.0,-0.40,60.75,62.50,64.25,10.050,66.84,5.829,0.4744
122.0,0.00,65.25,66.75,68.25,1.118,68.84,6.075,0.3801
122.0,0.40,69.25,70.50,71.75,1.118,69.80,6.196,0.3482
122.0,0.80,73.00,74.13,75.25,1.179,70.91,6.368,0.3187
122.0,1.20,76.25,77.38,78.50,1.068,71.48,6.457,0.3091
122.0,1.60,79.75,80.63,81.50,1.179,71.44,6.427,0.3118
126.0,-1.20,42.50,47.63,52.75,7.195,56.81,5.110,0.7071
126.0,-0.80,39.75,49.25,58.75,10.050,62.74,5.520,0.6125
126.0,-0.40,38.50,41.25,44.00,3.881,19.07,4.530,0.4678
126.0,0.00,39.25,40.75,42.25,10.050,10.92,4.862,0.3433
130.0,-1.20,45.00,47.38,49.75,5.713,51.50,4.938,0.7477
130.0,-0.80,40.50,48.88,57.25,9.677,60.51,5.427,0.6575
130.0,-0.40,39.00,42.00,45.00,4.123,22.72,4.529,0.4683
130.0,0.00,38.00,40.38,42.75,3.281,13.50,4.846,0.3494
134.0,-0.80,41.75,48.75,55.75,8.807,58.44,5.373,0.6864
134.0,-0.40,39.50,43.00,46.50,4.854,27.52,4.540,0.5676
134.0,0.00,38.50,41.00,43.50,3.640,16.37,4.824,0.3576
138.0,-0.80,43.00,48.38,53.75,7.442,55.33,5.272,0.7170
138.0,-0.40,40.25,50.00,59.75,10.050,61.13,5.642,0.6204
138.0,0.00,38.75,41.50,44.25,3.881,19.26,4.815,0.3610
138.0,0.40,38.00,40.25,42.50,10.050,11.99,5.145,0.2796
142.0,-0.80,45.50,48.13,50.75,5.959,50.24,5.123,0.7705
142.0,-0.40,41.00,49.63,58.25,10.050,58.91,5.552,0.6684
142.0,0.00,39.25,42.38,45.50,4.244,23.01,4.799,0.3670
142.0,0.40,38.25,40.75,43.25,3.400,14.47,5.110,0.2825
146.0,-0.40,42.25,49.50,56.75,9.304,56.97,5.516,0.7002
146.0,0.00,40.00,43.50,47.00,4.854,27.13,4.794,0.4767
146.0,0.40,38.75,41.25,43.75,3.640,16.91,5.106,0.2829
146.0,0.80,38.00,40.25,42.50,10.050,10.91,5.425,0.2563
150.0,-0.40,43.50,49.13,54.75,7.938,54.01,5.434,0.7370
150.0,0.00,40.50,50.63,60.75,10.050,59.54,5.750,0.6402
150.0,0.40,39.00,41.88,44.75,4.002,19.72,5.077,0.2852
150.0,0.80,38.25,40.63,43.00,3.520,12.80,5.399,0.2585
